Topic,Count,Name,ratio
-1,3476,-1_car_new_driving_experience,0.2988308115543329
0,1351,0_bmw_car_mercedes_benz,0.11614511691884456
1,623,1_assist_parking_lane_traffic,0.05355914718019257
2,533,2_led_rear_headlights_grille,0.04582187070151307
3,503,3_horsepower_torque_drive_engine,0.043242778541953235
4,502,4_charging_charge_battery_charger,0.043156808803301236
5,338,5_seats_seat_space_rear seats,0.02905777166437414
6,284,6_interior_leather_materials_seats,0.024415405777166437
7,273,7_ride_hello_happy_world,0.023469738651994497
8,271,8_kia_ev6_india_ev,0.02329779917469051
9,269,9_amg_eqs_eqe_mercedes,0.02312585969738652
10,257,10_customers_product_brand_customer,0.022094222833562587
11,212,11_elantra_sonata_hyundai_accord,0.018225584594222834
12,210,12_steering_rear_car_aerodynamics,0.018053645116918846
13,195,13_rav4_rav4 prime_prime_hybrid,0.01676409903713893
14,186,14_camry_highlander_toyota_grand highlander,0.015990371389270976
15,185,15_display_screen_touchscreen_12,0.01590440165061898
16,185,16_ioniq_hyundai_blue link_charging,0.01590440165061898
17,162,17_prius_prius prime_prime_hybrid,0.013927097661623108
18,153,18_key_digital key_digital_unlock,0.013153370013755158
19,153,19_hybrid_plug_plug hybrid_bmw,0.013153370013755158
20,140,20_corolla_safety_assist_safety sense,0.012035763411279229
21,136,21_mustang_mach_mustang mach_mustangs,0.011691884456671253
22,127,22_design_designers_designer_art,0.0109181568088033
23,126,23_carplay_apple_apple carplay_android,0.010832187070151307
24,125,24_pedal_braking_brakes_regenerative braking,0.010746217331499313
25,116,25_sound_sounds_quiet_exhaust,0.009972489683631361
26,112,26_crown_toyota crown_toyota_japan,0.009628610729023384
27,110,27_audi_tron_q8_q5,0.009456671251719395
28,107,28_america_auto evolution_pre_evolution,0.00919876203576341
29,107,29_porsche_taycan_turbo_car,0.00919876203576341
30,105,30_19_20_18_21,0.009026822558459423
