representation_model,topic,words,weighted_words
keybert,15,"tesla, ev, cars, electrification, car, vehicles, electric, evs, vehicle, emissions","[[""tesla"", 0.5597494840621948], [""ev"", 0.4641452729701996], [""cars"", 0.435581773519516], [""electrification"", 0.40837469696998596], [""car"", 0.39832258224487305], [""vehicles"", 0.39500200748443604], [""electric"", 0.37792736291885376], [""evs"", 0.3777755796909332], [""vehicle"", 0.36482492089271545], [""emissions"", 0.3429258465766907]]"
keybert,16,"hyundai, elantra, elr, sedan, car, brand, 2021, design","[[""hyundai"", 0.610821545124054], [""elantra"", 0.6014434099197388], [""elr"", 0.4033183753490448], [""sedan"", 0.389516144990921], [""car"", 0.31875741481781006], [""brand"", 0.22913724184036255], [""2021"", 0.2287519872188568], [""design"", 0.17407865822315216]]"
keybert,17,"design, aerodynamics, stance, rear, headlights, vehicle, car","[[""design"", 0.42734774947166443], [""aerodynamics"", 0.36853983998298645], [""stance"", 0.34690362215042114], [""rear"", 0.33704841136932373], [""headlights"", 0.3129981458187103], [""vehicle"", 0.30250078439712524], [""car"", 0.2997485399246216]]"
keybert,18,"mercedes, benz, automotive, sedan, cars, flagship, car, class, model, luxury","[[""mercedes"", 0.5780840516090393], [""benz"", 0.48881787061691284], [""automotive"", 0.4153364896774292], [""sedan"", 0.41186171770095825], [""cars"", 0.3580164313316345], [""flagship"", 0.3268558979034424], [""car"", 0.3228600323200226], [""class"", 0.31280672550201416], [""model"", 0.2905721366405487], [""luxury"", 0.2888879179954529]]"
keybert,19,"navigation, steering, navigator, view, display, screen, driver, driving, settings, menu","[[""navigation"", 0.5474317073822021], [""steering"", 0.44250553846359253], [""navigator"", 0.41710859537124634], [""view"", 0.404488742351532], [""display"", 0.38296741247177124], [""screen"", 0.3613298237323761], [""driver"", 0.3538322448730469], [""driving"", 0.34194010496139526], [""settings"", 0.3295290768146515], [""menu"", 0.3120407164096832]]"
keybert,20,"prius, hybrid, toyota, toyotacare, prime, efficiency, mileage, vehicle, per, convenience","[[""prius"", 0.6313626170158386], [""hybrid"", 0.4566367268562317], [""toyota"", 0.4524495303630829], [""toyotacare"", 0.443175733089447], [""prime"", 0.27087679505348206], [""efficiency"", 0.24839432537555695], [""mileage"", 0.2386409342288971], [""vehicle"", 0.22679519653320312], [""per"", 0.20905683934688568], [""convenience"", 0.19861188530921936]]"
keybert,21,"polestar, volvo, electric, factory, brand, car, cars, performance, battery","[[""polestar"", 0.6909877061843872], [""volvo"", 0.3358507454395294], [""electric"", 0.3295001685619354], [""factory"", 0.31315502524375916], [""brand"", 0.2878624200820923], [""car"", 0.28468722105026245], [""cars"", 0.2804800271987915], [""performance"", 0.24823153018951416], [""battery"", 0.21953144669532776]]"
keybert,22,"taycan, porsche, chassis, turbo, cars, car, vehicle, engines, engine, horsepower","[[""taycan"", 0.597614049911499], [""porsche"", 0.5459750890731812], [""chassis"", 0.3671520948410034], [""turbo"", 0.33501461148262024], [""cars"", 0.3334296643733978], [""car"", 0.3271302580833435], [""vehicle"", 0.3219747543334961], [""engines"", 0.2756131887435913], [""engine"", 0.2637830972671509], [""horsepower"", 0.2632147967815399]]"
keybert,23,"trunk, push, soft, lift, top, pull, pushing, rear, middle","[[""trunk"", 0.3525712490081787], [""push"", 0.3188632130622864], [""soft"", 0.3179306387901306], [""lift"", 0.31424659490585327], [""top"", 0.30513396859169006], [""pull"", 0.2984205484390259], [""pushing"", 0.2856960594654083], [""rear"", 0.2728438973426819], [""middle"", 0.260246604681015]]"
keybert,24,"mclaren, ferrari, racing, racetrack, car, fiat, heritage, race","[[""mclaren"", 0.6250814199447632], [""ferrari"", 0.5667592883110046], [""racing"", 0.43006908893585205], [""racetrack"", 0.3653218448162079], [""car"", 0.32297879457473755], [""fiat"", 0.3227540850639343], [""heritage"", 0.28024452924728394], [""race"", 0.2784785032272339]]"
keybert,25,"steering, suspension, chassis, hydraulic, damping, aerodynamics, stability, controls","[[""steering"", 0.5217363834381104], [""suspension"", 0.41146785020828247], [""chassis"", 0.3826923966407776], [""hydraulic"", 0.34933358430862427], [""damping"", 0.33455222845077515], [""aerodynamics"", 0.31171706318855286], [""stability"", 0.3081788420677185], [""controls"", 0.30806273221969604]]"
keybert,26,"camry, toyota, avalon, trd, sedan, traction","[[""camry"", 0.5109261274337769], [""toyota"", 0.35453999042510986], [""avalon"", 0.3132336437702179], [""trd"", 0.28106966614723206], [""sedan"", 0.2801952362060547], [""traction"", 0.26350075006484985]]"
keybert,27,"toyota, jbl, audio, corolla, premium, speakers, speaker, bose, tunes, drivers","[[""toyota"", 0.4464608132839203], [""jbl"", 0.4010270833969116], [""audio"", 0.3489959239959717], [""corolla"", 0.32495206594467163], [""premium"", 0.31320837140083313], [""speakers"", 0.30940526723861694], [""speaker"", 0.3063011169433594], [""bose"", 0.3018784523010254], [""tunes"", 0.3010605275630951], [""drivers"", 0.2945347726345062]]"
keybert,28,"rav4, hybrid, ev, toyota, suv, powertrain, traction, premium, rear","[[""rav4"", 0.5802558660507202], [""hybrid"", 0.49928754568099976], [""ev"", 0.4386683702468872], [""toyota"", 0.35680609941482544], [""suv"", 0.3205624520778656], [""powertrain"", 0.30521342158317566], [""traction"", 0.2915336787700653], [""premium"", 0.24826286733150482], [""rear"", 0.2449111044406891]]"
keybert,29,"mustang, mustangs, ford, car, suv, vehicle, drive, mach, electric","[[""mustang"", 0.7389699816703796], [""mustangs"", 0.6893395185470581], [""ford"", 0.4533291459083557], [""car"", 0.3476378917694092], [""suv"", 0.3315831422805786], [""vehicle"", 0.32534295320510864], [""drive"", 0.2501469850540161], [""mach"", 0.24417203664779663], [""electric"", 0.21656450629234314]]"
keybert,30,"eqs, eqe, eq, mercedes, electric, car, electrical, benz, vehicles, design","[[""eqs"", 0.6899601221084595], [""eqe"", 0.6378161311149597], [""eq"", 0.6147360801696777], [""mercedes"", 0.4255446195602417], [""electric"", 0.27874767780303955], [""car"", 0.2724946141242981], [""electrical"", 0.2699999213218689], [""benz"", 0.2668610215187073], [""vehicles"", 0.26580971479415894], [""design"", 0.2654294967651367]]"
keybert,31,"horsepower, engine, turbocharged, v8, powertrain, engines, turbo, litre, motor, elantra","[[""horsepower"", 0.560155987739563], [""engine"", 0.46748989820480347], [""turbocharged"", 0.45763635635375977], [""v8"", 0.4347175061702728], [""powertrain"", 0.4308764338493347], [""engines"", 0.4295269548892975], [""turbo"", 0.36353394389152527], [""litre"", 0.3340737223625183], [""motor"", 0.3223443031311035], [""elantra"", 0.31916189193725586]]"
keybert,32,"highlander, suv, toyota, hybrid, seats, cabin, drive, seating, seat, passenger","[[""highlander"", 0.6111560463905334], [""suv"", 0.43172913789749146], [""toyota"", 0.42781195044517517], [""hybrid"", 0.3274420201778412], [""seats"", 0.22894534468650818], [""cabin"", 0.2164028286933899], [""drive"", 0.198464035987854], [""seating"", 0.19490820169448853], [""seat"", 0.19431695342063904], [""passenger"", 0.18591707944869995]]"
keybert,33,"headlights, taillights, taillight, lighting, lights, bmw, led","[[""headlights"", 0.535358190536499], [""taillights"", 0.48115473985671997], [""taillight"", 0.4371310770511627], [""lighting"", 0.42893150448799133], [""lights"", 0.3655222952365875], [""bmw"", 0.3569908142089844], [""led"", 0.3081825375556946]]"
keybert,34,"amg, gt63, steering, gt4, gt3, eqs, features, suspension, variants, buttons","[[""amg"", 0.6225117444992065], [""gt63"", 0.3339732885360718], [""steering"", 0.30659744143486023], [""gt4"", 0.29407620429992676], [""gt3"", 0.29162243008613586], [""eqs"", 0.27602964639663696], [""features"", 0.25542378425598145], [""suspension"", 0.24181191623210907], [""variants"", 0.23475344479084015], [""buttons"", 0.23454037308692932]]"
keybert,35,"crown, toyota, flagship, car, vehicle, platinum, electrified, sedan, drive, redesign","[[""crown"", 0.5722259879112244], [""toyota"", 0.49351766705513], [""flagship"", 0.3343689739704132], [""car"", 0.2580795884132385], [""vehicle"", 0.2382563203573227], [""platinum"", 0.21387629210948944], [""electrified"", 0.20928266644477844], [""sedan"", 0.199928417801857], [""drive"", 0.17509698867797852], [""redesign"", 0.17173856496810913]]"
