selection_label,selection_reason,stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
lowest_noise,最低 noise_ratio，並以較低 largest_topic_ratio 與較高 n_clusters 作為 tie-break。,stage2,10,10,0.05,cosine,42,100,50.0,eom,0.0,euclidean,ok,完成,6,0.0121722846441947,130,9939,173,9939,0.9306179775280898,0.9580524344569288,0.174786348787435,0.3735524344569288
most_topics,在可接受 noise_ratio 下保留最多有效主題。,stage2,5,15,0.0,cosine,42,50,5.0,leaf,0.0,euclidean,ok,完成,70,0.2899812734082397,3097,325,302,325,0.0304307116104868,0.0774344569288389,0.9775868166894744,0.8883895131086141
best_balance,符合指定最佳平衡條件後取最高 balance_score。,stage2,5,15,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,59,0.2160112359550561,2307,479,458,479,0.0448501872659176,0.1275280898876404,0.9541440031290142,0.8962359550561798
