umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
5,5,0.0,50,,eom,0.0,90,0.4501793479986033,14182,52,73,1719,0.0545662317874488,0.1393835507729422,3.978864158935021,0.8206996159095958,ok,
5,5,0.0,50,10.0,eom,0.0,131,0.3509824461162429,11057,51,80,1242,0.0394248166841253,0.0980541535726756,4.4968200926339446,0.8632669904453545,ok,
5,5,0.0,50,30.0,eom,0.0,106,0.4022474050090467,12672,51,72,1696,0.0538361425895946,0.1119893343491096,4.218973010628458,0.8407770688505856,ok,
5,5,0.0,75,,eom,0.0,46,0.4557978605212202,14359,82,126,2917,0.0925943560930705,0.1792527695775005,3.27276041822983,0.7996317811002127,ok,
5,5,0.0,75,10.0,eom,0.0,82,0.3614576389550201,11387,80,98,1242,0.0394248166841253,0.0998635050630098,4.097282762688041,0.8597625622956544,ok,
5,5,0.0,75,30.0,eom,0.0,69,0.4176745071897914,13158,85,82,1696,0.0538361425895946,0.118814081198616,3.852371454745738,0.834783988826461,ok,
5,5,0.0,100,,eom,0.0,2,0.0734215788972478,2313,126,29064,29064,0.9225788020188552,0.926578421102752,0.0278121072145307,0.3292175348379519,ok,
5,5,0.0,100,10.0,eom,0.0,65,0.379582896866965,11958,126,339,1880,0.059676856172428,0.1201155445513125,3.871541534677597,0.8441989651779196,ok,
5,5,0.0,100,30.0,eom,0.0,53,0.4264038345554392,13433,126,304,1696,0.0538361425895946,0.118814081198616,3.66882896748916,0.8321651906167666,ok,
5,5,0.0,125,,eom,0.0,2,0.0756118464908104,2382,126,28995,28995,0.9203885344252928,0.9243881535091896,0.0278677438644875,0.3296555883566644,ok,
5,5,0.0,125,10.0,eom,0.0,48,0.3894549725422975,12269,126,339,1880,0.059676856172428,0.1277656096244802,3.6160994508743785,0.8397073294606863,ok,
5,5,0.0,125,30.0,eom,0.0,45,0.4221185283941212,13298,126,304,1779,0.0564708123035901,0.1443354601149097,3.4945727482010667,0.8275561057677046,ok,
5,5,0.0,150,,eom,0.0,21,0.503571088467765,15864,202,862,3000,0.0952290258070659,0.1735707710376789,2.783575376359332,0.7256458115100148,ok,
5,5,0.0,150,10.0,eom,0.0,41,0.3902485477573564,12294,339,347,1880,0.059676856172428,0.1277656096244802,3.509815403603432,0.8394692568961686,ok,
5,5,0.0,150,30.0,eom,0.0,41,0.4440846903469511,13990,304,224,1696,0.0538361425895946,0.1219248960416468,3.4686163057478137,0.8262387709107069,ok,
5,5,0.0,175,,eom,0.0,19,0.5389645430593911,16979,775,885,2910,0.092372155032854,0.1675395994032314,2.709705076937661,0.7037577373583469,ok,
5,5,0.0,175,10.0,eom,0.0,39,0.4007872266133384,12626,339,347,1880,0.059676856172428,0.1277656096244802,3.4705516472409177,0.8363076532393741,ok,
5,5,0.0,175,30.0,eom,0.0,34,0.4173888201123703,13149,304,224,1696,0.0538361425895946,0.1431609687966225,3.275362886749454,0.8300003174300861,ok,
