representation_model,topic,words,weighted_words
pos,19,"door, tailgate, open, release, hood, place, trunk, cover","[[""door"", 0.032290384074058515], [""tailgate"", 0.02992249363286084], [""open"", 0.02985576991117792], [""release"", 0.022181581322831243], [""hood"", 0.021464723872628017], [""place"", 0.020027052498250656], [""trunk"", 0.019407702185736165], [""cover"", 0.018350426467538174]]"
pos,20,"car, brand, proud, cars, excited, super, new","[[""car"", 0.034020923687418554], [""brand"", 0.01880446457240746], [""proud"", 0.015741311862331648], [""cars"", 0.015195161200948324], [""excited"", 0.014644813983808055], [""super"", 0.014114757841925958], [""new"", 0.014058639099941284]]"
pos,21,"auto, brand, season, new, excited, press, reveal","[[""auto"", 0.05869918195168261], [""brand"", 0.024024084087983143], [""season"", 0.02084565394694158], [""new"", 0.01853661488494872], [""excited"", 0.01304018110624795], [""press"", 0.011970326136461663], [""reveal"", 0.011917423154327703]]"
pos,22,"electric, price, vehicles, evolution, affordable, inventory, pricing","[[""electric"", 0.019825136804744594], [""price"", 0.01568506963494087], [""vehicles"", 0.014729576012709432], [""evolution"", 0.013839803509387603], [""affordable"", 0.013672738932777873], [""inventory"", 0.013403948292806516], [""pricing"", 0.013229148901253917]]"
pos,23,"class, new, brand, luxury, car, customers, best, modern, driving","[[""class"", 0.13016484593672065], [""new"", 0.03705429553610281], [""brand"", 0.035877301606027034], [""luxury"", 0.01830939416892403], [""car"", 0.015493015128335825], [""customers"", 0.014164849623870301], [""best"", 0.011012442041493176], [""modern"", 0.008666855373924963], [""driving"", 0.008482318555983462]]"
pos,24,"brand, global, market, plant, world, new, largest","[[""brand"", 0.04233118973833554], [""global"", 0.027390682846098403], [""market"", 0.026322550410493827], [""plant"", 0.022522087423273544], [""world"", 0.015497230006653108], [""new"", 0.015382463206169178], [""largest"", 0.011243012953770564]]"
pos,25,"warranty, roadside, hybrid, maintenance, assistance","[[""warranty"", 0.11712660261851528], [""roadside"", 0.05271682948417983], [""hybrid"", 0.05003395741092205], [""maintenance"", 0.0498870593673161], [""assistance"", 0.04324182064567559]]"
pos,26,"model, brand, new, 530e, design, sedan, drive, plug, hybrid","[[""model"", 0.03241947813169423], [""brand"", 0.02389813000474041], [""new"", 0.022989420025884628], [""530e"", 0.019445439909094867], [""design"", 0.019350041110292693], [""sedan"", 0.014914488046191469], [""drive"", 0.013789361326117472], [""plug"", 0.013614034267905063], [""hybrid"", 0.012931714579475518]]"
pos,27,"climate, emissions, environment, future, sustainable, change, sustainability, energy, world, carbon","[[""climate"", 0.030246641865054328], [""emissions"", 0.02563459874115738], [""environment"", 0.021430177954732586], [""future"", 0.020583411864641986], [""sustainable"", 0.017215513461822086], [""change"", 0.01626375331768145], [""sustainability"", 0.01585445666118335], [""energy"", 0.015837952499737008], [""world"", 0.01525244376764926], [""carbon"", 0.015226156402224572]]"
pos,28,"temperature, console, control, air, button, center, degrees, seat, buttons, press","[[""temperature"", 0.0478463477726831], [""console"", 0.04583750647283751], [""control"", 0.03514644900889308], [""air"", 0.03218363721744262], [""button"", 0.030784031715530853], [""center"", 0.030185257831261973], [""degrees"", 0.028013956372012056], [""seat"", 0.025023392841679655], [""buttons"", 0.022101510516823925], [""press"", 0.020146137125090707]]"
