umap_n_neighbors,umap_n_components,umap_min_dist,best_balance_score,best_noise_ratio,best_n_clusters,best_largest_topic_ratio,mean_balance_score
5,5,0.05,0.853248058474189,0.0023755139333028,38,0.0529922338967565,0.5995021166438251
5,5,0.0,0.8523435358611238,0.0023755139333028,41,0.0647784376427592,0.6268110248210751
5,10,0.0,0.8508451347647328,0.0076747373229785,38,0.0675194152581087,0.6407842241510583
5,15,0.0,0.8489721333942439,0.00831429876656,37,0.0768387391502969,0.6494240292370945
5,15,0.05,0.8413430790315213,0.00831429876656,39,0.0635906806761078,0.5354318257956449
10,5,0.0,0.8366377341251714,0.0082229328460484,40,0.0525354042941982,0.6067752702908482
5,10,0.05,0.8311649154865235,0.0081315669255367,31,0.0895386021014161,0.5834564336835694
10,15,0.05,0.8277935130196437,0.0322521699406121,31,0.0584741891274554,0.5959615044921578
30,5,0.0,0.8142622201918686,0.0066697121973503,30,0.058839652809502,0.6270464443429268
30,5,0.05,0.8111831886706258,0.0183645500228414,29,0.0535404294198264,0.6220442211055276
