representation_model,topic,words,weighted_words
MMR,-1,"polestar, clarity, accord, elantra, prius, car, honda, brand","[[""polestar"", 0.048344254700667874], [""clarity"", 0.042787443815533635], [""accord"", 0.04169319145596119], [""elantra"", 0.03138279292396683], [""prius"", 0.0268966198720157], [""car"", 0.025569537509142128], [""honda"", 0.02464385838949017], [""brand"", 0.01939270349844665]]"
MMR,0,"car, new","[[""car"", 0.02269615158636511], [""new"", 0.017923819597711926]]"
MMR,1,"hyundai, sonata, ioniq, kia, new, 2018, fleet, optima, vehicle","[[""hyundai"", 0.11903801569962326], [""sonata"", 0.08200372239606252], [""ioniq"", 0.07414004869280723], [""kia"", 0.05018245029207153], [""new"", 0.03195429699880414], [""2018"", 0.022607150100408386], [""fleet"", 0.0221337170510266], [""optima"", 0.019281324211359738], [""vehicle"", 0.01847722729848369]]"
MMR,2,"bmw, series, i8, new, car, i3, driving, design, x6","[[""bmw"", 0.15655637507759487], [""series"", 0.0480827853541701], [""i8"", 0.045922679642100554], [""new"", 0.034409839360945056], [""car"", 0.02425489920677559], [""i3"", 0.02142177948238364], [""driving"", 0.02060842917482645], [""design"", 0.018081743589405952], [""x6"", 0.015872610370451647]]"
MMR,3,"infiniti, q50, infinity, brand, performance, cancer, johan, market","[[""infiniti"", 0.12850185640296533], [""q50"", 0.08940504830958697], [""infinity"", 0.05395871780770856], [""brand"", 0.03433356489149894], [""performance"", 0.025264746885726545], [""cancer"", 0.021630160576972878], [""johan"", 0.02144621194601421], [""market"", 0.021074484510728228]]"
MMR,4,"volvo, new, xc90, xc40, design, safety, cars, s90","[[""volvo"", 0.1677310297548257], [""new"", 0.09362032360463154], [""xc90"", 0.09112602977725139], [""xc40"", 0.04180729627314731], [""design"", 0.03848983664253872], [""safety"", 0.036722862528586024], [""cars"", 0.030890443404330704], [""s90"", 0.026564340578957568]]"
