min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,43,0.3914794007490637,4181,794,363,ok,完成
75,33,0.449812734082397,4804,819,480,ok,完成
100,4,0.08389513108614233,896,9420,129,ok,完成
125,2,0.07397003745318352,790,9731,159,ok,完成
150,3,0.16310861423220974,1742,8187,596,ok,完成
175,2,0.21198501872659176,2264,8115,301,ok,完成
200,7,0.6329588014981273,6760,1207,843,ok,完成
225,7,0.6126404494382023,6543,1304,878,ok,完成
250,3,0.4908239700374532,5242,4708,456,ok,完成
275,2,0.5086142322097378,5432,4800,448,ok,完成
300,2,0.5207865168539326,5562,4679,439,ok,完成
325,2,0.5647003745318352,6031,4218,431,ok,完成
350,2,0.5726591760299625,6116,4133,431,ok,完成
375,2,0.5872659176029963,6272,3986,422,ok,完成
400,2,0.599625468164794,6404,3868,408,ok,完成
500,0,1.0,10680,0,0,ok,完成
600,0,1.0,10680,0,0,ok,完成
700,0,1.0,10680,0,0,ok,完成
800,0,1.0,10680,0,0,ok,完成
900,0,1.0,10680,0,0,ok,完成
1000,0,1.0,10680,0,0,ok,完成
