representation_model,topic,words,weighted_words
mmr,18,"prius, hybrid, toyota, gallon, per, efficiency, fuel, seats, awd","[[""prius"", 0.09386421734800143], [""hybrid"", 0.026583328552092687], [""toyota"", 0.015398245970295356], [""gallon"", 0.012278673855576603], [""per"", 0.012002969475668708], [""efficiency"", 0.01199101156734313], [""fuel"", 0.009621938949298909], [""seats"", 0.009087457621704435], [""awd"", 0.008876951147385485]]"
mmr,19,"sonata, hyundai, camry, accord, 2020, liter, hybrid, sel, blue, limited","[[""sonata"", 0.08651365106245873], [""hyundai"", 0.02705822495340699], [""camry"", 0.019005837928320436], [""accord"", 0.017748282004461068], [""2020"", 0.013628218959097813], [""liter"", 0.010596532389678504], [""hybrid"", 0.009499732540781063], [""sel"", 0.00893348778904248], [""blue"", 0.008588606059177236], [""limited"", 0.008232798866010915]]"
mmr,20,"polestar, car, brand, electric, volvo, they, china, battery, customer","[[""polestar"", 0.10326035957041148], [""car"", 0.013109650654653178], [""brand"", 0.012821734655227257], [""electric"", 0.012674912904973778], [""volvo"", 0.012461396388741592], [""they"", 0.011176056705915077], [""china"", 0.010453510323960845], [""battery"", 0.00809422019793872], [""customer"", 0.008072896599646339]]"
mmr,21,"xc90, volvo, ex90, safety, s90, design, you, oncoming, seat","[[""xc90"", 0.06129993143944624], [""volvo"", 0.04907445715190835], [""ex90"", 0.023202566845511582], [""safety"", 0.021971189924357957], [""s90"", 0.012621656389862831], [""design"", 0.010056917755726091], [""you"", 0.00874946449731478], [""oncoming"", 0.008515250734473939], [""seat"", 0.008142701189705366]]"
mmr,22,"porsche, taycan, panamera, turbo, sports, car, performance, comfort, engine, chassis","[[""porsche"", 0.07118147560027256], [""taycan"", 0.04475669731544115], [""panamera"", 0.03762234687748142], [""turbo"", 0.01845961468467983], [""sports"", 0.015785104958440332], [""car"", 0.012873649485298639], [""performance"", 0.01252635430256375], [""comfort"", 0.010522449312074415], [""engine"", 0.010391073221269755], [""chassis"", 0.008831775632638584]]"
mmr,23,"top, door, trunk, meters, open, up, soft","[[""top"", 0.024693665185612307], [""door"", 0.018470706000850805], [""trunk"", 0.016014716114894852], [""meters"", 0.014136524069697644], [""open"", 0.01321048494949746], [""up"", 0.012793238403587674], [""soft"", 0.01276272295351907]]"
mmr,24,"steering, suspension, control, sl, driver, cornering, system, cayenne, fly","[[""steering"", 0.024320756766804653], [""suspension"", 0.02206816992386616], [""control"", 0.016341669766390603], [""sl"", 0.012942811693176732], [""driver"", 0.010396467858822056], [""cornering"", 0.009820677987716478], [""system"", 0.009022565558283216], [""cayenne"", 0.008981598462594862], [""fly"", 0.008574053393062175]]"
mmr,25,"camry, trd, drive, toyota, 19, led, standard","[[""camry"", 0.07460858315853462], [""trd"", 0.02557026001809009], [""drive"", 0.015195329937711626], [""toyota"", 0.012982388069576438], [""19"", 0.010592632859529], [""led"", 0.00942836048549731], [""standard"", 0.009191115251980691]]"
mmr,26,"rav4, hybrid, standard, trd, toyota, seats, estimated, ev","[[""rav4"", 0.08510471264286289], [""hybrid"", 0.03139559253471569], [""standard"", 0.021406983505972813], [""trd"", 0.019278883814718772], [""toyota"", 0.0161591617188385], [""seats"", 0.01118951806959774], [""estimated"", 0.010537971428310871], [""ev"", 0.010356949843835594]]"
mmr,27,"connect, system, corolla, safety, assist, speakers, jbl, prius, bose, tracing","[[""connect"", 0.04096346505278865], [""system"", 0.031140572404313477], [""corolla"", 0.02959511259331261], [""safety"", 0.028579391119080127], [""assist"", 0.025877738452297964], [""speakers"", 0.024462895544943058], [""jbl"", 0.018816385050966868], [""prius"", 0.015872345895572074], [""bose"", 0.012843302177993007], [""tracing"", 0.011710627749208037]]"
