Topic,Count,Name,ratio
-1,3894,-1_car_new_drive_driving,0.2853374367992966
0,4852,0_car_new_vehicle_driving,0.355536015241445
1,970,1_world_product_customers_need,0.07107789257712317
2,756,2_charging_charge_battery_range,0.055396790503407345
3,481,3_interior_design_beautiful_modern,0.03524584157690335
4,411,4_seats_seat_leather_space,0.03011650912288415
5,335,5_display_navigation_screen_touchscreen,0.024547519601377594
6,222,6_horsepower_engine_torque_liter,0.016267311497032314
7,184,7_ioniq_hyundai_charging_safety,0.013482816736279036
8,166,8_rav4_rav4 prime_prime_hybrid,0.012163845533816955
9,162,9_prius_prius prime_prime_hybrid,0.011870740822158716
10,159,10_camry_toyota_safety_trd,0.011650912288415036
11,146,11_mustang_mach_mustang mach_mustangs,0.010698321975525756
12,138,12_crown_toyota crown_toyota_japan,0.010112112552209276
13,125,13_sound_quiet_noise_exhaust,0.009159522239319998
14,112,14_warranty_maintenance_roadside_roadside assistance,0.008206931926430718
15,112,15_20_19_black_18,0.008206931926430718
16,109,16_grand tour_tour_grand_audi,0.007987103392687038
17,108,17_xc90_ex90_genesis_xc40,0.007913827214772478
18,104,18_audio_jbl_speaker_premium,0.007620722503114238
19,101,19_climate_temperature_climate control_control,0.007400893969370557
