Topic,Count,Name,Representation,Representative_Docs
-1,8,-1_sentra_new_testament_redesign,"['sentra', 'new', 'testament', 'redesign', 'forward', 'emergency braking', 'active safety', '2016', 'sedans', 'warning']","['Give it up for the Sentra now. So here are four things that I want to tell you about this beautiful new Sentra. First, with the exterior redesign.', 'Our three core sedans now share that bold new energetic flow design language and the vMotion front grille, boomerang headlights as well as taillights, and an aggressive stance. And second, the interior has new high-definition gauges that look great to the eye, a five-inch drive assist display, and much more once you get on the inside. And third, like the Model, Sentra adds a suite of available active safety driver assist technology which puts Sentra ahead of the competition.', 'Now, Sentra has been on a record pace, mind you, with sales up almost 10% so far this year and without a redesign. And in fact, Sentra has nearly doubled market share in just the last three years. And a testament to quality, more than 93% of the Sentra sold in the past 10 years are still on the road today.']"
0,10903,0_car_new_like_just,"['car', 'new', 'like', 'just', 'vehicle', 'electric', 'design', 'drive', 'driving', 'available']","[""Even though we couldn't meet in Geneva, we felt that it was important to give everyone an update on what's new at the Brand Group. And also to pay tribute to the many people who have worked tirelessly on our new products and their presentation. And that is why we are here at the very heart of Brand Group Design for the world premiere of a very special concept car."", ""And the reason we did that is we wanted to create something very new. We wanted to almost challenge the way we'd normally design a car and do something different. Now with this car, it didn't need to be a sibling to the 1960 cluster."", ""You know, the car is not stuffy. The car can dress up like this, go to one of these rallies and hang with these guys that are just having a riot, having a good time. And the car's got that kind of duality to it.""]"
1,67,1_warranty_000_000 mile_year,"['warranty', '000', '000 mile', 'year', 'mile', 'whichever comes', 'whichever', '000 miles', 'years', 'hybrid']","['And every Model includes ToyotaCare, which provides two years or 25,000 miles of scheduled maintenance, whichever comes first, and three-year unlimited mileage of 24-hour roadside assistance. Plus, Model includes a hybrid system warranty for eight years or 100,000 miles, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making it a strong choice for long-term ownership.', ""And every Model includes ToyotaCare, which provides two years or 25,000 miles of scheduled maintenance, whichever comes first, and two-year unlimited mileage of 24-hour roadside assistance. The strength of Model 's value is further enhanced in its hybrid grades, which come with an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making them strong choices for long-term ownership."", 'And Model Plug-in Hybrid includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, whichever comes first, and 2-year unlimited mileage of 24-hour roadside assistance. This strong value is further enhanced by an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making this electrified SUV a strong choice for long-term ownership.']"
