selection_label,selection_reason,stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
lowest_noise,最低 noise_ratio，並以較低 largest_topic_ratio 與較高 n_clusters 作為 tie-break。,stage2,15,5,0.0,cosine,42,300,50.0,eom,0.0,euclidean,ok,完成,2,0.0083743687858733,267,550,31066,31066,0.9743750588087696,0.9916256312141266,0.1265604052239584,0.3201833788121151
most_topics,在可接受 noise_ratio 下保留最多有效主題。,stage2,5,10,0.0,cosine,42,50,5.0,leaf,0.0,euclidean,ok,完成,183,0.394348085186463,12573,82,97,478,0.0149923156541103,0.038986293636107,0.9718804971940292,0.8694006210206067
best_balance,符合嚴格平衡條件後取最高 balance_score。,stage2,5,10,0.0,cosine,42,50,10.0,leaf,0.2,euclidean,ok,完成,130,0.3136154063293918,9999,82,139,959,0.0300787253395226,0.07681209421949,0.9324533524387484,0.8815293416554277
