selection_label,selection_reason,stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
lowest_noise,最低 noise_ratio，並以較低 largest_topic_ratio 與較高 n_clusters 作為 tie-break。,stage2,15,10,0.0,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,2,0.0,0,100,31374,31374,0.9968227743534346,1.0,0.030941149700313,0.3142865010273029
most_topics,在可接受 noise_ratio 下保留最多有效主題。,stage2,5,15,0.0,cosine,42,50,5.0,leaf,0.0,euclidean,ok,完成,166,0.4188218847302535,13182,54,54,395,0.0125500413039334,0.032058206773845,0.9732377029515592,0.8641767808349747
best_balance,符合嚴格平衡條件後取最高 balance_score。,stage2,5,5,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,148,0.3416470737751795,10753,53,52,868,0.0275783186121878,0.0651013534981254,0.9485678059676907,0.8762121115841646
