representation_model,topic,words,weighted_words
default,-1,"ioniq, new, polestar, nissan, crown, mustang, electric, hyundai, car, leaf","[[""ioniq"", 0.04171166013276202], [""new"", 0.03545325230096079], [""polestar"", 0.033759897219557015], [""nissan"", 0.032387194899043875], [""crown"", 0.02575591897713891], [""mustang"", 0.025515509011178706], [""electric"", 0.024319652418422114], [""hyundai"", 0.022818985940629765], [""car"", 0.0226272491660758], [""leaf"", 0.022119212354686953]]"
default,0,"car, new, vehicle, electric, driving, design, drive, bmw, rear, charging","[[""car"", 0.04570759783338123], [""new"", 0.035339953351312604], [""vehicle"", 0.023540669464542766], [""electric"", 0.022634709175733222], [""driving"", 0.020286166213475877], [""design"", 0.019361502355409954], [""drive"", 0.017732856363892133], [""bmw"", 0.01772749518085283], [""rear"", 0.01684613428909636], [""charging"", 0.01614616500836249]]"
default,1,"hybrid, prius, available, toyota, standard, corolla, rav4, highlander, drive, camry","[[""hybrid"", 0.04917386515544612], [""prius"", 0.04793144816587639], [""available"", 0.045100428216031344], [""toyota"", 0.043319068556873355], [""standard"", 0.04080231671947474], [""corolla"", 0.03540651041758982], [""rav4"", 0.03520043116667356], [""highlander"", 0.029557968135471586], [""drive"", 0.026532847898108537], [""camry"", 0.024824122762954034]]"
default,2,"elantra, sonata, hyundai, accord, new, features, hyundai sonata, design, car, hybrid","[[""elantra"", 0.09185118587587658], [""sonata"", 0.08437275387545273], [""hyundai"", 0.07172983824379255], [""accord"", 0.05285308113332593], [""new"", 0.03960548884817053], [""features"", 0.026868798681883976], [""hyundai sonata"", 0.02445298890332689], [""design"", 0.024369126911495863], [""car"", 0.0232042483282479], [""hybrid"", 0.020249888208507722]]"
default,3,"volvo, xc90, new, car, s60, xc40, safety, new xc90, cars, design","[[""volvo"", 0.13732535287639763], [""xc90"", 0.08213533455182996], [""new"", 0.07672829202715804], [""car"", 0.05900929907642949], [""s60"", 0.055426174076778294], [""xc40"", 0.04795704054247867], [""safety"", 0.038866843357044926], [""new xc90"", 0.03825976052295289], [""cars"", 0.03625677742985308], [""design"", 0.03501322803891147]]"
